Front,Back
"Why is text-based protective marking (e.g., [SEC=OFFICIAL]) insufficient for protecting documents from Copilot?","Copilot protections key off native Microsoft Purview sensitivity labels and encryption, not ordinary text."
What specific Microsoft Purview usage right is required for Copilot to return content from an encrypted item?,The EXTRACT usage right.
What is the primary risk associated with 'Grounding' in Microsoft 365 Copilot?,"It makes existing permissions problems, such as overshared SharePoint sites, visible and fast."
Where are enterprise Copilot prompts and responses stored for the purposes of eDiscovery?,In a hidden folder within the user's Exchange Online mailbox.
Does Microsoft Purview DLP inspect files that a user uploads directly into a Copilot prompt?,"No, it only checks the text typed into the prompt itself."
What is the purpose of 'Restricted SharePoint Search' (RSS) during Copilot deployment?,To limit Copilot access to an approved list of up to 100 sites while permissions are remediated.
Acronym: SIT,Sensitive Information Type.
Which type of SIT uses regular expressions or keywords to detect sensitive information?,Pattern-based classifiers.
How does an 'Exact Data Match' (EDM) SIT identify sensitive data?,By using actual sensitive data as the basis for identification.
Which SIT category identifies information based on the format of a document rather than its specific content?,Document fingerprint SITs.
What happens to sensitivity labels when Copilot generates a summary of a source document?,The generated item inherits the sensitivity labels applied to the source item.
PSPF Direction 001-2025 prohibits the use of which specific AI provider's products by non-corporate Commonwealth entities?,DeepSeek.
Under what condition is an open-source DeepSeek model permitted for use in government?,"When the codebase is inspectable, deployed locally, and appropriate mitigations are in place."
What is the purpose of an 'x-header' in the context of government email?,"To provide a reliable, machine-readable source of classification information that users cannot easily manipulate."
"In the Australian Government Email Protective Marking Standard, what does the 'ORIGIN' field capture?",The author's email address or the originating entity to ensure accountability.
What Microsoft solution provides visibility and control over SaaS-based applications (Shadow AI)?,Microsoft Defender for Cloud Apps.
How does Microsoft Purview 'Communication Compliance' assist with government probity obligations?,"By screening high-risk correspondence, including chats and emails, for sensitive or suspicious content."
"According to PSPF Section 9, who is responsible for approving changes to an item's security classification?",The originator of the information.
What is the benefit of using 'sublabels' in a government sensitivity label taxonomy?,"They allow users to apply different controls without triggering label change justification, unless lowering the classification."
What is the maximum number of sensitivity labels that can be created per organization in Microsoft 365?,500
Which security caveat is currently being phased out as per PSPF Release 2024 Guidelines?,NATIONAL CABINET.
Term: Data exfiltration,"The theft or unauthorized removal of data from a device or system, often via cyberattack methods."
What is the 'bridge' mechanism used to convert legacy text markings into native Purview sensitivity labels?,"Auto-labeling policies driven by x-headers, subject markings, or SITs."
"In the agentic AI lifecycle, what is the 'Integrate' phase's primary security focus?",Implementing controls over tools and interaction protocols to mitigate injection attacks.
What decommission mechanism is required to rapidly halt agent operations and contain harm?,A kill switch.
What does 'web grounding' in Copilot imply for data privacy regarding Microsoft's role?,"Queries go to Bing, where Microsoft acts as an independent controller outside enterprise data protection terms."
Which Microsoft 365 component manages the authentication and access permissions for Copilot users?,Microsoft Entra ID.
What is the primary difference between 'Microsoft 365 Copilot Chat' (included) and 'Microsoft 365 Copilot' (paid)?,The paid version includes grounding in organizational data via Microsoft Graph.
"Under the 'Control Tower' model, what is the role of 'Observability'?",The capability to monitor and analyze agent behavior through logs and metrics to detect issues.
What is 'Memory poisoning' in the context of agentic AI risks?,A risk where agent memory is corrupted or manipulated by malicious data to influence future actions.
Which agent type handles controlled message exchange and context boundaries between agents and systems?,The Communication agent.
"In orchestration patterns, what is 'conditional branching'?",A workflow logic that directs the next action based on specific criteria or outcomes.
What does the IRAP assessment confirm regarding Microsoft's system architecture?,That it is based on sound security principles and that applicable ISM controls are effective.
Which maturity level in the Purview model establishes foundational sensitivity labeling and DLP?,Level 1.
What is 'shadow AI'?,The use of unauthorized generative AI applications by staff within an organization.
Which document mandates that entities consult with the DTA before seeking funding for digital projects?,Budget Process Operational Rules (BPORs).
What is the 'EXTRACT' usage right's role in Copilot security?,"It allows Copilot to pull text from a document to process it; without it, the file is excluded."
How can 'Tenant Restrictions v2' protect a government device?,By preventing staff from signing into personal Microsoft accounts while on the government network.
"In a multi-agent system, what is 'state synchronization'?",The process of ensuring all agents have a consistent and up-to-date view of the shared task environment.
What is 'Chain-of-thought' (CoT) reasoning in agentic AI?,A method that prompts LLMs to 'think step-by-step' to capture and document the reasoning process.
What is the primary limitation of the unified audit record for Copilot interactions?,It carries message IDs and metadata but does not contain the actual prompt or response text.
Why is 'conflict resolution' important for agent memory management?,"To prevent agents from retaining inconsistent, outdated, or mutually contradicting information."
Which agent type finds and summarizes information from enterprise knowledge stores using RAG?,The Researcher agent.
What is the role of a 'Router agent' in an agentic workflow?,Classifying requests and routing them to the appropriate specialized agent or model.
What does the 'Integrate' phase of the AI lifecycle aim to validate?,That tools and interactions operate safely within the environment using typed interfaces and access controls.
Define 'Observability' in the AI technical standard.,The capability to trace behavior through logs and audit trails to ensure transparency and support debugging.
What governs the endorsement of individuals to provide cyber security assessment services to the Australian government?,The Information Security Registered Assessors Program (IRAP).
Which Microsoft 365 tool is recommended for organizations to assess their compliance posture against Australian regulations?,Microsoft Purview Compliance Manager.
"In the ORIGIN field of an email, what is a valid mitigation if a system cannot apply user-specific x-headers?","Using a generic email address (e.g., info@entity.gov.au) to identify the originating entity."
Which SIT category is used to identify complex dictionary-based identifiers like Australian physical addresses?,Named entity SITs.
What is 'sensitivity auto-labeling'?,A feature that automatically applies protection labels to files based on their content or metadata.
What is 'Data Oversharing' in the context of Copilot risks?,A risk where users distribute Copilot-generated items containing sensitive information to unauthorized recipients.
How can 'Data access governance reports' in SharePoint Premium help mitigate Copilot risks?,By discovering sites that contain potentially overshared or sensitive content for remediation.
What is the relationship between the DTA and the 'AI technical standard for Australian Government'?,The DTA publishes the standard to provide best practice guidance for agencies.
Which legislation requires government agencies to maintain documented records of agentic AI actions?,The Archives Act 1983 (Cth).
"Under the 'Monitor' phase, why must systems track changes in the operating environment?",To detect changes in authorisations or constraints that might necessitate timely fallback actions.
Acronym: MCP,Model Context Protocol.
